id,movie1,movie2,movie3,movie4,movie5,movie6
0,15,84,125,152,552,1160
1,84,79,83,141,429,675
2,363,992,1143,1257,1115,1929
3,391,453,421,517,1104,1558
4,83,150,180,271,254,527
5,31,51,149,166,207,293
6,47,733,1016,1094,1463,1885
7,122,135,243,333,368,379
8,34,174,176,290,447,471
9,314,626,1220,1390,1685,2131
10,21,23,46,64,78,130
11,39,153,162,231,390,760
12,160,1524,2028,2073,3018,2620
13,51,64,78,80,112,149
14,25,74,161,333,379,488
15,0,35,84,152,389,613
16,20,29,53,274,323,297
17,47,733,1016,1094,1463,1885
18,13,45,51,64,193,166
19,95,153,216,331,906,902
20,16,29,53,274,323,297
21,10,23,46,64,78,130
22,274,273,566,773,765,1655
23,10,21,46,64,78,130
24,116,268,354,265,333,542
25,14,145,252,843,785,817
26,1063,1545,1465,1822,2435,2845
27,33,50,99,159,359,567
28,151,252,645,663,836,1694
29,16,20,53,274,323,297
30,841,1074,1361,1416,1792,1894
31,5,36,37,139,242,293
32,453,1718,1973,2001,2608,3430
33,27,50,99,115,359,567
34,114,118,220,382,391,447
35,48,150,120,356,429,452
36,5,31,37,139,242,293
37,5,31,36,139,242,293
38,1355,1208,1352,1667,2036,2503
39,11,153,162,231,390,760
40,358,679,1133,1826,2121,2842
41,1290,1511,1507,2433,1905,1816
42,44,245,243,266,333,895
43,81,177,881,1394,1863,2222
44,268,354,368,287,490,640
45,51,64,78,80,112,149
46,10,21,23,64,78,130
47,733,1016,1094,1463,1320,1885
48,83,150,180,271,254,527
49,223,877,1378,2174,2898,2497
50,27,33,99,159,359,567
51,64,78,80,112,149,193
52,18,79,141,920,1539,2659
53,16,20,29,274,323,297
54,29,48,53,297,547,429
55,8,69,174,176,237,211
56,34,114,118,382,471,593
57,10,21,23,130,365,339
58,492,711,1108,1080,2009,4025
59,148,319,327,341,330,456
60,229,895,1471,1156,1379,1425
61,309,761,871,832,834,1177
62,104,507,546,1243,1412,2216
63,684,1455,1292,1514,2142,2422
64,51,78,80,112,149,193
65,417,496,627,924,910,1011
66,97,532,683,1016,1268,1410
67,272,926,916,1647,1730,2676
68,5,74,161,338,275,379
69,174,176,211,382,541,447
70,96,484,404,1289,1327,1211
71,106,618,1112,1084,1332,2117
72,64,105,90,113,140,149
73,249,1447,1269,1590,1563,1529
74,161,199,379,477,415,638
75,437,1243,1279,1402,1165,1304
76,793,1050,1091,1708,1142,2188
77,683,772,2102,3348,4115,4310
78,51,64,80,112,149,193
79,1,84,83,141,429,675
80,51,64,78,112,149,193
81,881,1394,1863,2446,1944,1791
82,255,388,386,702,722,1306
83,150,180,271,254,547,527
84,0,15,125,152,552,1160
85,633,880,1413,1670,2324,2376
86,987,1232,1793,2645,2673,3970
87,89,151,268,354,350,497
88,3088,3100,2874,4516,4561,4608
89,59,107,87,148,330,456
90,72,64,105,113,140,149
91,1213,2082,2076,2074,2716,2712
92,148,266,573,1032,1164,1690
93,750,749,1553,1556,1575,2264
94,707,864,1489,1256,1939,2087
95,153,231,331,906,789,902
96,70,484,404,1289,1327,1211
97,66,258,627,1725,1410,1453
98,953,1285,1781,1800,1775,2172
99,27,33,50,115,359,567
100,72,105,90,113,140,467
101,320,310,584,698,761,901
